euler method
cross-section: const
N,wall_time,nsteps
100,0.224717363999,500
200,0.221284980995,1000
300,0.239609126998,1500
400,0.329150303005,2000
500,0.348743048002,2500
600,0.416734110004,3000
700,0.582585545999,3500
800,0.679089341997,4000
1000,1.063054767998,5000
1500,2.160636724002,7500
2000,3.450372459003,10000
cross-section: exp
N,wall_time,nsteps
100,0.146986267006,500
200,0.172154284002,1000
300,0.204915577000,1500
400,0.247280595002,2000
500,0.302809077002,2500
600,0.380228918002,3000
700,0.535756313002,3500
800,0.642934004994,4000
1000,1.028240312997,5000
1500,2.092227216002,7500
2000,3.408219514000,10000
cross-section: cone
N,wall_time,nsteps
100,0.148082070002,500
200,0.166242441999,1000
300,0.199352126998,1500
400,0.244522159002,2000
500,0.301955119001,2500
600,0.380298564000,3000
700,0.532979115997,3500
800,0.641751787000,4000
1000,1.014748779999,5000
1500,2.115814407000,7500
2000,3.398257483001,10000
