rk2 method
cross-section: const
N,wall_time,nsteps
100,0.235089843001,500
200,0.279739141995,1000
300,0.347242960997,1500
400,0.451370021998,2000
500,0.560970974002,2500
600,0.708992655003,3000
700,1.017413517002,3500
800,1.317710238000,4000
1000,1.990231814001,5000
1500,4.172647637002,7500
2000,6.729736390997,10000
cross-section: exp
N,wall_time,nsteps
100,0.196873462999,500
200,0.223615315001,1000
300,0.295016080003,1500
400,0.401269599999,2000
500,0.499312446998,2500
600,0.646380038997,3000
700,0.965956098997,3500
800,1.181418810003,4000
1000,1.929596750997,5000
1500,4.121948714004,7500
2000,6.746979577001,10000
cross-section: cone
N,wall_time,nsteps
100,0.180508186000,500
200,0.223441035996,1000
300,0.299583353997,1500
400,0.381336177001,2000
500,0.513381092998,2500
600,0.655127773003,3000
700,0.966031964999,3500
800,1.192179818994,4000
1000,1.931640412004,5000
1500,4.116574539999,7500
2000,6.810120793998,10000
